,precision,recall,f1-score,support
akiec,0.6875,0.5238095238095238,0.5945945945945946,42.0
bcc,0.7297297297297297,0.6428571428571429,0.6835443037974683,42.0
bkl,0.40789473684210525,0.7380952380952381,0.5254237288135594,42.0
df,0.8235294117647058,0.6666666666666666,0.7368421052631577,42.0
mel,0.7674418604651163,0.7857142857142857,0.7764705882352941,42.0
nv,0.8787878787878788,0.6904761904761905,0.7733333333333333,42.0
vasc,0.9230769230769231,0.8571428571428571,0.888888888888889,42.0
accuracy,0.7006802721088435,0.7006802721088435,0.7006802721088435,0.7006802721088435
macro avg,0.7454229343809227,0.7006802721088434,0.7112996489894711,294.0
weighted avg,0.7454229343809227,0.7006802721088435,0.711299648989471,294.0
